SimulationSecond,ReceiveRate,PacketsReceived,Average End to End,Package Delivery Ratio,NumberOfSinks,RoutingProtocol,TransmissionPower
128,12.288,24,0.00720939,0.6,10,AODV,7.5
129,12.288,24,0.00219254,0.6,10,AODV,7.5
130,16.896,33,0.00134509,0.825,10,AODV,7.5
131,16.896,33,0.000383026,0.825,10,AODV,7.5
132,15.872,31,0.00033632,0.775,10,AODV,7.5
133,13.312,26,0.000476275,0.65,10,AODV,7.5
134,13.312,26,0.000423348,0.65,10,AODV,7.5
135,8.704,17,0.0101988,0.425,10,AODV,7.5
136,12.8,25,0.0188927,0.625,10,AODV,7.5
137,14.848,29,0.00329422,0.725,10,AODV,7.5
138,12.288,24,0.000894168,0.6,10,AODV,7.5
139,14.848,29,0.00206499,0.725,10,AODV,7.5
140,13.824,27,0.000339285,0.675,10,AODV,7.5
141,12.8,25,0.00449606,0.625,10,AODV,7.5
142,14.848,29,0.000532392,0.725,10,AODV,7.5
143,14.336,28,0.000733185,0.7,10,AODV,7.5
144,14.336,28,0.000336204,0.7,10,AODV,7.5
145,15.872,31,0.000608845,0.775,10,AODV,7.5
146,16.384,32,0.000383141,0.8,10,AODV,7.5
147,12.288,24,0.00181916,0.6,10,AODV,7.5
148,10.752,21,0.00141481,0.525,10,AODV,7.5
149,14.848,29,0.000821627,0.725,10,AODV,7.5
150,19.968,39,0.00039264,0.975,10,AODV,7.5
151,20.48,40,0.000391175,1,10,AODV,7.5
152,17.92,35,0.00146017,0.875,10,AODV,7.5
153,5.12,10,0.0213114,0.25,10,AODV,7.5
154,7.168,14,0.0196792,0.35,10,AODV,7.5
155,17.92,35,0.0235107,0.875,10,AODV,7.5
156,18.944,37,0.00590816,0.925,10,AODV,7.5
157,14.336,28,0.00239933,0.7,10,AODV,7.5
158,16.896,33,0.00285894,0.825,10,AODV,7.5
159,15.872,31,0.00281151,0.775,10,AODV,7.5
160,16.384,32,0.000422867,0.8,10,AODV,7.5
161,14.848,29,0.00357204,0.725,10,AODV,7.5
162,17.92,35,0.0013137,0.875,10,AODV,7.5
163,13.824,27,0.00944866,0.675,10,AODV,7.5
164,20.48,40,0.00670898,1,10,AODV,7.5
165,15.36,30,0.00151917,0.75,10,AODV,7.5
166,14.848,29,0.00707592,0.725,10,AODV,7.5
167,16.384,32,0.00176967,0.8,10,AODV,7.5
168,18.432,36,0.00437312,0.9,10,AODV,7.5
169,13.824,27,0.00238262,0.675,10,AODV,7.5
170,11.776,23,0.00909435,0.575,10,AODV,7.5
171,17.408,34,0.0109974,0.85,10,AODV,7.5
172,10.752,21,0.00349951,0.525,10,AODV,7.5
173,12.288,24,0.00197773,0.6,10,AODV,7.5
174,13.824,27,0.000370325,0.675,10,AODV,7.5
175,12.8,25,0.00126695,0.625,10,AODV,7.5
176,12.8,25,0.00486729,0.625,10,AODV,7.5
177,14.336,28,0.0146994,0.7,10,AODV,7.5
178,18.432,36,0.0174195,0.9,10,AODV,7.5
179,18.432,36,0.000920846,0.9,10,AODV,7.5
